estacion,hora,q_cafes_llevar_algo_leche_sinbakery_alfajor,q_cafes_llevar_algo_otros_sinbakery_alfajor,q_cafes_local_algo_leche_sinbakery_alfajor,q_cafes_local_algo_otros_sinbakery_alfajor
Rivadavia,17,null,null,null,null
La Bandera,22,null,null,null,null
Villa Allende,0,null,null,null,null
Rivadavia,16,null,null,null,null
Olivos,11,10.0000,3.0000,6.0000,3.0000
Gral Paz Capital,0,23.0000,5.0000,null,34.0000
Libertador,19,10.0000,32.0000,9.0000,31.0000
Pilar,23,6.0000,6.0000,9.0000,8.0000
Zarate,0,7.0000,15.0000,null,null
San Isidro,14,8.0000,18.0000,3.0000,38.0000
Arroyo Seco,14,49.0000,92.0000,19.0000,174.0000
Maipu,20,4.0000,6.0000,3.0000,3.0000
Dialogos,0,9.0000,5.0000,null,7.0000
Bonpland,18,12.0000,9.0000,13.0000,28.0000
Villa Luro,22,3.0000,6.0000,null,17.0000
Zarate,17,9.0000,14.0000,3.0000,5.0000
Gral Paz Provincia,0,11.0000,13.0000,6.0000,38.0000
La Carmela,21,5.0000,6.0000,3.0000,13.0000
La Carmela,19,10.0000,9.0000,1.0000,7.0000
Villa Luro,15,7.0000,13.0000,5.0000,32.0000
Laferrere,9,12.0000,2.0000,1.0000,9.0000
Gutierrez,2,null,4.0000,null,7.0000
DISC Caraffa,21,null,null,1.0000,2.0000
Centenera,17,5.0000,6.0000,8.0000,4.0000
AUBASA BA-LP,13,5.0000,10.0000,3.0000,29.0000
Olivos,2,12.0000,4.0000,null,13.0000
El Club,5,null,2.0000,1.0000,5.0000
Trelles,5,4.0000,3.0000,1.0000,2.0000
Gutierrez,9,7.0000,8.0000,null,5.0000
El Club,1,9.0000,9.0000,10.0000,60.0000
La Bandera,9,9.0000,1.0000,1.0000,16.0000
Parque Sarmiento,10,13.0000,7.0000,3.0000,8.0000
Bonpland,16,14.0000,14.0000,14.0000,39.0000
America,10,12.0000,8.0000,null,17.0000
Libertador,5,4.0000,19.0000,3.0000,6.0000
Ovidio Lagos,8,2.0000,null,3.0000,11.0000
Gral Paz Capital,8,42.0000,26.0000,null,33.0000
Boulevard,6,16.0000,16.0000,25.0000,22.0000
DISC Echeverria,10,null,null,null,22.0000
Bulnes,18,6.0000,3.0000,5.0000,33.0000
Lima,6,41.0000,43.0000,9.0000,24.0000
Maipu,21,1.0000,1.0000,1.0000,1.0000
Maipu,19,3.0000,1.0000,2.0000,5.0000
Garay,3,6.0000,11.0000,3.0000,7.0000
Laferrere,14,5.0000,5.0000,null,2.0000
Las Heras,14,10.0000,11.0000,1.0000,8.0000
Boulevard,12,2.0000,3.0000,2.0000,9.0000
Dialogos,12,3.0000,1.0000,2.0000,8.0000
La Carmela,1,7.0000,5.0000,null,6.0000
El Club,16,24.0000,15.0000,17.0000,50.0000
Florencio Varela,0,null,6.0000,3.0000,13.0000
La Carmela,16,12.0000,21.0000,1.0000,14.0000
La Carmela,2,11.0000,11.0000,3.0000,5.0000
Olivos,7,15.0000,7.0000,3.0000,10.0000
Villa Allende,12,null,1.0000,null,4.0000
Gral Paz Provincia,14,5.0000,14.0000,2.0000,43.0000
Libertador,1,3.0000,22.0000,17.0000,22.0000
Maipu,3,12.0000,5.0000,7.0000,8.0000
Arroyo Seco,2,24.0000,24.0000,4.0000,16.0000
Santa Fe,11,5.0000,10.0000,null,3.0000
Centenera,13,2.0000,1.0000,1.0000,7.0000
La Carmela,0,15.0000,16.0000,3.0000,9.0000
Alsina,7,9.0000,9.0000,1.0000,19.0000
El Club,0,15.0000,10.0000,6.0000,37.0000
Santa Fe,6,24.0000,4.0000,1.0000,6.0000
Quilmes,8,16.0000,6.0000,3.0000,7.0000
Floresta,0,7.0000,15.0000,1.0000,13.0000
Buen Ayre,0,5.0000,6.0000,3.0000,28.0000
Bonpland,3,11.0000,7.0000,9.0000,34.0000
Gral Paz Capital,9,44.0000,29.0000,null,53.0000
Laferrere,8,11.0000,14.0000,1.0000,16.0000
Maipu,13,3.0000,2.0000,4.0000,6.0000
Del Tejar,23,1.0000,1.0000,1.0000,22.0000
Maipu,12,1.0000,1.0000,1.0000,12.0000
Luis Viale,22,null,null,4.0000,5.0000
Garay,20,3.0000,9.0000,1.0000,27.0000
La Bandera,13,3.0000,null,2.0000,7.0000
AUBASA BA-LP,12,11.0000,20.0000,5.0000,30.0000
Amanecer,12,3.0000,2.0000,null,19.0000
Fisherton,2,null,2.0000,null,5.0000
Centenera,11,6.0000,3.0000,5.0000,8.0000
Disc Panamericana,17,null,1.0000,null,1.0000
Parque Sarmiento,23,8.0000,2.0000,null,8.0000
Bonpland,5,15.0000,15.0000,1.0000,3.0000
Ovidio Lagos,12,null,2.0000,1.0000,11.0000
Congreso,22,3.0000,null,null,4.0000
Bonpland,1,4.0000,6.0000,3.0000,31.0000
DISC Caraffa,15,null,null,2.0000,9.0000
Gral Paz Provincia,13,3.0000,9.0000,4.0000,29.0000
Alberdi,19,null,null,null,9.0000
Trelles,17,11.0000,10.0000,3.0000,6.0000
Buen Ayre,14,5.0000,14.0000,12.0000,71.0000
AUBASA BA-LP,3,17.0000,25.0000,1.0000,7.0000
El Arco,19,8.0000,6.0000,2.0000,7.0000
Bulnes,20,3.0000,null,1.0000,14.0000
Villa Luro,13,3.0000,4.0000,4.0000,16.0000
Maschwitz,17,null,null,null,41.0000
Dialogos,16,7.0000,4.0000,8.0000,10.0000
Fisherton,18,null,14.0000,null,64.0000
AUBASA LP-BA,0,6.0000,26.0000,4.0000,29.0000
Arroyo Seco,8,31.0000,36.0000,13.0000,38.0000
Alsina,18,15.0000,14.0000,5.0000,36.0000
Buen Ayre,17,24.0000,26.0000,16.0000,46.0000
DISC Echeverria,17,null,null,null,10.0000
San Isidro,6,1.0000,6.0000,6.0000,1.0000
Las Heras,23,null,1.0000,2.0000,6.0000
Garay,10,5.0000,5.0000,9.0000,5.0000
Libertador,8,10.0000,8.0000,6.0000,9.0000
El Club,18,13.0000,18.0000,26.0000,57.0000
DISC Echeverria,19,null,null,null,20.0000
Bulnes,13,1.0000,1.0000,2.0000,8.0000
Las Heras,8,9.0000,4.0000,1.0000,8.0000
La Bandera,14,6.0000,6.0000,2.0000,18.0000
Gutierrez,16,3.0000,6.0000,7.0000,10.0000
La Bandera,6,7.0000,2.0000,12.0000,6.0000
Centenera,20,4.0000,2.0000,2.0000,2.0000
Ovidio Lagos,17,5.0000,8.0000,2.0000,19.0000
America,8,17.0000,19.0000,null,14.0000
Boulevard,9,3.0000,6.0000,13.0000,12.0000
Dialogos,18,14.0000,9.0000,21.0000,19.0000
Zarate,18,12.0000,11.0000,1.0000,7.0000
Gral Paz Capital,4,29.0000,7.0000,null,19.0000
Del Tejar,11,4.0000,1.0000,2.0000,7.0000
AUBASA BA-LP,8,39.0000,35.0000,12.0000,21.0000
Laferrere,7,14.0000,5.0000,2.0000,7.0000
Santa Fe,20,4.0000,2.0000,null,null
Los Incas,14,6.0000,2.0000,null,1.0000
Arroyo Seco,7,37.0000,39.0000,12.0000,24.0000
Gutierrez,18,15.0000,7.0000,3.0000,10.0000
Ovidio Lagos,1,1.0000,4.0000,5.0000,12.0000
Luis Viale,8,1.0000,7.0000,2.0000,3.0000
Gral Paz Capital,14,9.0000,10.0000,null,63.0000
Dialogos,11,9.0000,5.0000,3.0000,14.0000
San Isidro,12,11.0000,11.0000,4.0000,23.0000
Gral Paz Capital,13,9.0000,8.0000,null,35.0000
Los Incas,0,12.0000,3.0000,null,2.0000
El Arco,8,11.0000,4.0000,null,1.0000
AUBASA BA-LP,4,6.0000,24.0000,1.0000,15.0000
Luis Viale,15,2.0000,9.0000,4.0000,40.0000
Maschwitz,2,null,null,null,9.0000
Maschwitz,14,null,null,null,7.0000
Floresta,19,3.0000,12.0000,2.0000,5.0000
Gutierrez,0,1.0000,3.0000,4.0000,8.0000
La Carmela,20,5.0000,4.0000,null,9.0000
Olivos,16,7.0000,1.0000,13.0000,13.0000
Gral Paz Capital,22,15.0000,6.0000,null,23.0000
Pilar,5,3.0000,7.0000,null,1.0000
Pilar,1,4.0000,10.0000,5.0000,1.0000
El Arco,20,2.0000,2.0000,4.0000,9.0000
La Carmela,5,13.0000,6.0000,4.0000,2.0000
AUBASA BA-LP,19,15.0000,45.0000,19.0000,58.0000
Floresta,17,6.0000,14.0000,2.0000,14.0000
Los Incas,9,21.0000,8.0000,null,1.0000
Alsina,9,13.0000,13.0000,2.0000,14.0000
Maipu,1,9.0000,11.0000,5.0000,30.0000
DISC Echeverria,4,null,null,null,12.0000
Gral Paz Provincia,7,23.0000,15.0000,4.0000,12.0000
Alberdi,10,null,null,null,29.0000
Del Tejar,1,6.0000,4.0000,2.0000,2.0000
Bonpland,20,1.0000,4.0000,2.0000,24.0000
Dialogos,17,16.0000,14.0000,13.0000,19.0000
Boulevard,19,17.0000,17.0000,20.0000,57.0000
Parque Sarmiento,2,12.0000,1.0000,null,7.0000
AUBASA LP-BA,15,20.0000,50.0000,18.0000,85.0000
Parque Sarmiento,13,11.0000,4.0000,1.0000,8.0000
Alvear,4,11.0000,7.0000,18.0000,24.0000
Congreso,0,5.0000,5.0000,1.0000,8.0000
Lima,0,47.0000,112.0000,10.0000,59.0000
Maschwitz,19,null,null,null,23.0000
Las Heras,19,4.0000,7.0000,null,19.0000
Arroyo Seco,5,19.0000,6.0000,null,17.0000
Emilio Castro,16,8.0000,7.0000,null,10.0000
Las Heras,13,6.0000,2.0000,1.0000,1.0000
Gutierrez,14,1.0000,1.0000,3.0000,9.0000
El Club,19,11.0000,12.0000,16.0000,32.0000
Trelles,8,4.0000,4.0000,4.0000,4.0000
Luis Viale,18,4.0000,9.0000,9.0000,22.0000
Las Heras,12,null,6.0000,1.0000,5.0000
Santa Fe,10,4.0000,7.0000,null,1.0000
Cabildo,13,7.0000,3.0000,3.0000,1.0000
Ovidio Lagos,22,4.0000,2.0000,null,9.0000
America,7,19.0000,30.0000,null,7.0000
Bonpland,11,7.0000,14.0000,2.0000,22.0000
El Arco,9,4.0000,null,2.0000,4.0000
Alvear,13,6.0000,5.0000,2.0000,47.0000
AUBASA BA-LP,18,49.0000,56.0000,27.0000,59.0000
Amanecer,11,5.0000,4.0000,null,16.0000
Disc Panamericana,18,null,2.0000,null,null
AUBASA LP-BA,2,12.0000,37.0000,11.0000,15.0000
La Bandera,20,1.0000,2.0000,2.0000,9.0000
Bulnes,8,3.0000,1.0000,3.0000,1.0000
Zarate Brazo Largo,3,7.0000,null,null,10.0000
El Club,12,3.0000,8.0000,3.0000,14.0000
DISC Echeverria,16,null,null,null,7.0000
Las Heras,1,3.0000,5.0000,2.0000,7.0000
DISC Echeverria,9,null,null,null,26.0000
Bulnes,21,1.0000,1.0000,7.0000,15.0000
Las Heras,5,4.0000,3.0000,null,null
Alsina,8,5.0000,11.0000,2.0000,16.0000
Bulnes,19,9.0000,2.0000,7.0000,21.0000
Amanecer,3,5.0000,17.0000,null,16.0000
Gutierrez,6,3.0000,5.0000,null,null
Cabildo,1,1.0000,null,1.0000,2.0000
Pilar,3,1.0000,12.0000,2.0000,null
Fisherton,23,null,1.0000,null,16.0000
Ovidio Lagos,19,3.0000,3.0000,1.0000,28.0000
Del Tejar,6,4.0000,1.0000,2.0000,2.0000
Cabildo,11,4.0000,7.0000,null,3.0000
Alsina,5,14.0000,10.0000,1.0000,12.0000
Disc Panamericana,23,null,null,null,null
Santa Fe,14,1.0000,1.0000,null,1.0000
Bulnes,10,2.0000,2.0000,4.0000,6.0000
Ovidio Lagos,10,2.0000,11.0000,1.0000,null
Santa Fe,13,null,1.0000,null,2.0000
Anchorena,19,null,null,null,null
Bulnes,1,null,null,null,null
Santa Fe,22,null,null,null,null
Disc Panamericana,12,null,2.0000,null,null
Bulnes,5,null,null,null,null
Bulnes,2,null,null,null,null
Bulnes,23,null,null,null,null
DISC Caraffa,6,null,null,null,null
Dialogos,3,null,null,null,null
Rivadavia,10,null,null,null,null
Santa Rita,4,null,25.0000,1.0000,4.0000
Alsina,11,3.0000,7.0000,2.0000,11.0000
Gral Paz Capital,5,33.0000,10.0000,null,29.0000
Villa Luro,23,2.0000,10.0000,4.0000,23.0000
Olivos,4,18.0000,null,2.0000,9.0000
El Club,23,10.0000,7.0000,6.0000,31.0000
Emilio Castro,15,4.0000,14.0000,2.0000,7.0000
Zarate,13,3.0000,1.0000,2.0000,null
Gral Paz Capital,18,41.0000,28.0000,null,80.0000
DISC Echeverria,23,null,null,null,6.0000
America,14,2.0000,7.0000,null,16.0000
Ovidio Lagos,2,null,8.0000,1.0000,14.0000
Santa Rita,22,null,6.0000,null,4.0000
Santa Fe,17,4.0000,5.0000,1.0000,2.0000
Zarate Brazo Largo,19,23.0000,4.0000,2.0000,1.0000
Ovidio Lagos,14,2.0000,4.0000,2.0000,14.0000
La Bandera,18,6.0000,null,7.0000,20.0000
Santa Rita,10,2.0000,12.0000,2.0000,13.0000
Garay,4,2.0000,8.0000,2.0000,12.0000
America,13,5.0000,3.0000,null,4.0000
America,17,5.0000,17.0000,null,10.0000
Maipu,2,15.0000,null,1.0000,19.0000
Buen Ayre,18,23.0000,42.0000,20.0000,59.0000
Zarate Brazo Largo,10,7.0000,2.0000,null,15.0000
Alberdi,17,null,null,null,26.0000
Alvear,18,15.0000,22.0000,16.0000,52.0000
Fisherton,7,3.0000,12.0000,null,6.0000
Maschwitz,7,null,null,null,103.0000
Alsina,21,7.0000,11.0000,1.0000,58.0000
AUBASA LP-BA,12,11.0000,12.0000,4.0000,23.0000
Bonpland,19,10.0000,17.0000,12.0000,26.0000
Gral Paz Provincia,6,23.0000,24.0000,7.0000,14.0000
Gral Paz Provincia,4,18.0000,26.0000,9.0000,19.0000
San Isidro,5,6.0000,9.0000,null,2.0000
Gutierrez,19,4.0000,5.0000,6.0000,8.0000
Los Incas,13,9.0000,2.0000,null,1.0000
Fisherton,14,1.0000,6.0000,null,32.0000
Luis Viale,7,1.0000,7.0000,3.0000,10.0000
Villa Luro,21,2.0000,2.0000,1.0000,3.0000
Amanecer,16,9.0000,10.0000,null,66.0000
Alvear,8,17.0000,6.0000,10.0000,15.0000
La Carmela,12,1.0000,7.0000,null,11.0000
Amanecer,20,4.0000,7.0000,null,13.0000
Arroyo Seco,20,46.0000,63.0000,18.0000,53.0000
Amanecer,8,29.0000,22.0000,null,8.0000
El Arco,6,6.0000,3.0000,1.0000,3.0000
La Bandera,8,7.0000,null,null,14.0000
Villa Luro,20,8.0000,2.0000,8.0000,22.0000
Emilio Castro,11,5.0000,10.0000,null,7.0000
Los Incas,22,null,1.0000,null,null
AUBASA LP-BA,13,6.0000,10.0000,8.0000,32.0000
Gutierrez,17,8.0000,12.0000,4.0000,14.0000
El Club,22,7.0000,5.0000,2.0000,29.0000
San Isidro,11,8.0000,17.0000,3.0000,18.0000
Maschwitz,5,null,null,null,27.0000
Buen Ayre,22,4.0000,2.0000,null,12.0000
AUBASA LP-BA,14,17.0000,37.0000,6.0000,78.0000
Garay,17,1.0000,21.0000,1.0000,77.0000
AUBASA BA-LP,9,22.0000,32.0000,21.0000,27.0000
Dialogos,8,10.0000,5.0000,1.0000,5.0000
Gral Paz Capital,19,24.0000,18.0000,null,45.0000
AUBASA LP-BA,7,17.0000,24.0000,1.0000,4.0000
Fisherton,21,null,4.0000,null,11.0000
Los Incas,18,8.0000,4.0000,null,2.0000
Parque Sarmiento,14,3.0000,4.0000,3.0000,28.0000
Los Incas,16,15.0000,2.0000,null,null
Luis Viale,9,null,12.0000,4.0000,5.0000
Lima,13,18.0000,46.0000,7.0000,87.0000
Florencio Varela,18,21.0000,9.0000,18.0000,14.0000
Villa Allende,16,3.0000,4.0000,3.0000,23.0000
Boulevard,14,5.0000,2.0000,4.0000,15.0000
Del Tejar,7,5.0000,5.0000,3.0000,6.0000
Fisherton,0,null,2.0000,null,22.0000
Alsina,23,1.0000,7.0000,1.0000,22.0000
Emilio Castro,4,7.0000,10.0000,2.0000,5.0000
Olivos,18,6.0000,7.0000,8.0000,14.0000
Del Tejar,2,3.0000,7.0000,1.0000,10.0000
Villa Luro,12,3.0000,2.0000,null,25.0000
CORS EVENTOS,15,26.0000,89.0000,null,null
Centenera,5,8.0000,1.0000,1.0000,1.0000
San Isidro,22,3.0000,4.0000,null,4.0000
Garay,21,4.0000,7.0000,1.0000,18.0000
Alberdi,3,null,null,null,5.0000
Del Tejar,21,3.0000,4.0000,null,8.0000
Del Tejar,13,2.0000,3.0000,2.0000,7.0000
Ovidio Lagos,15,1.0000,5.0000,2.0000,26.0000
Luis Viale,11,null,6.0000,null,6.0000
Arroyo Seco,9,43.0000,51.0000,17.0000,42.0000
Alvear,14,3.0000,6.0000,8.0000,27.0000
Las Heras,22,1.0000,3.0000,null,5.0000
Amanecer,19,1.0000,12.0000,null,21.0000
Bonpland,9,10.0000,7.0000,1.0000,8.0000
Floresta,15,4.0000,7.0000,null,7.0000
Las Heras,0,null,5.0000,null,3.0000
Bulnes,16,1.0000,1.0000,3.0000,20.0000
Dialogos,19,12.0000,15.0000,23.0000,25.0000
Emilio Castro,20,4.0000,8.0000,4.0000,7.0000
Las Heras,20,null,2.0000,3.0000,6.0000
Buen Ayre,12,7.0000,7.0000,4.0000,9.0000
Arroyo Seco,19,70.0000,75.0000,17.0000,76.0000
Lima,11,33.0000,54.0000,16.0000,95.0000
Luis Viale,21,7.0000,8.0000,1.0000,7.0000
Ovidio Lagos,13,2.0000,2.0000,null,8.0000
Alsina,2,2.0000,14.0000,3.0000,22.0000
Santa Rita,3,1.0000,10.0000,3.0000,7.0000
Zarate Brazo Largo,7,13.0000,1.0000,null,8.0000
Trelles,7,6.0000,2.0000,4.0000,8.0000
Gral Paz Capital,6,16.0000,16.0000,null,13.0000
Villa Allende,21,1.0000,null,null,3.0000
Alberdi,15,null,null,null,4.0000
La Bandera,10,5.0000,null,5.0000,11.0000
Floresta,7,4.0000,6.0000,3.0000,13.0000
Floresta,12,5.0000,6.0000,3.0000,5.0000
Trelles,22,2.0000,null,1.0000,2.0000
America,2,4.0000,12.0000,null,14.0000
Lima,2,30.0000,68.0000,9.0000,47.0000
Anchorena,17,null,null,null,null
Florencio Varela,16,29.0000,4.0000,10.0000,14.0000
America,20,null,1.0000,null,25.0000
Laferrere,5,9.0000,10.0000,1.0000,8.0000
AUBASA LP-BA,19,32.0000,62.0000,23.0000,49.0000
Zarate,10,5.0000,4.0000,null,8.0000
Alvear,17,14.0000,23.0000,22.0000,81.0000
Alsina,19,8.0000,20.0000,3.0000,24.0000
Libertador,11,6.0000,8.0000,8.0000,18.0000
Parque Sarmiento,15,7.0000,12.0000,2.0000,29.0000
El Arco,14,null,null,null,11.0000
Buen Ayre,1,5.0000,8.0000,1.0000,22.0000
Villa Allende,20,3.0000,2.0000,5.0000,10.0000
El Arco,11,null,1.0000,null,6.0000
El Arco,18,3.0000,1.0000,5.0000,15.0000
Centenera,7,11.0000,4.0000,6.0000,5.0000
Bonpland,15,4.0000,17.0000,3.0000,32.0000
Pilar,9,19.0000,7.0000,3.0000,17.0000
Del Tejar,8,9.0000,1.0000,2.0000,1.0000
Libertador,0,8.0000,19.0000,8.0000,31.0000
Arroyo Seco,10,45.0000,38.0000,18.0000,65.0000
Las Heras,7,7.0000,9.0000,null,4.0000
Fisherton,6,4.0000,7.0000,null,8.0000
El Club,8,11.0000,14.0000,3.0000,18.0000
Santa Fe,9,5.0000,5.0000,null,3.0000
Bonpland,21,2.0000,6.0000,null,20.0000
Libertador,13,4.0000,8.0000,7.0000,17.0000
America,16,4.0000,14.0000,null,9.0000
Laferrere,22,1.0000,7.0000,3.0000,22.0000
Trelles,0,6.0000,5.0000,11.0000,25.0000
Alsina,15,4.0000,1.0000,2.0000,16.0000
AUBASA BA-LP,6,48.0000,24.0000,10.0000,8.0000
Olivos,3,16.0000,3.0000,5.0000,2.0000
Zarate Brazo Largo,5,6.0000,2.0000,1.0000,null
Parque Sarmiento,22,10.0000,1.0000,3.0000,2.0000
Cabildo,16,2.0000,7.0000,null,5.0000
Maschwitz,22,null,null,null,null
Luis Viale,4,null,8.0000,1.0000,3.0000
Alvear,3,7.0000,13.0000,7.0000,22.0000
Olivos,23,7.0000,null,2.0000,11.0000
Gral Paz Capital,16,28.0000,20.0000,null,60.0000
Alvear,21,5.0000,11.0000,7.0000,36.0000
El Arco,12,1.0000,2.0000,null,7.0000
Villa Allende,6,2.0000,null,2.0000,2.0000
Garay,22,2.0000,14.0000,2.0000,14.0000
Florencio Varela,20,7.0000,2.0000,1.0000,8.0000
Pilar,16,9.0000,8.0000,2.0000,23.0000
DISC Echeverria,22,null,null,null,12.0000
Gral Paz Capital,1,19.0000,5.0000,null,64.0000
Alvear,16,15.0000,21.0000,17.0000,71.0000
Ovidio Lagos,21,null,1.0000,null,9.0000
Santa Rita,15,1.0000,10.0000,null,26.0000
Gutierrez,12,null,3.0000,2.0000,3.0000
Santa Fe,8,7.0000,7.0000,1.0000,2.0000
Congreso,5,2.0000,6.0000,null,12.0000
Villa Luro,5,1.0000,13.0000,2.0000,2.0000
La Carmela,4,6.0000,7.0000,1.0000,3.0000
Emilio Castro,22,1.0000,6.0000,1.0000,5.0000
Garay,16,5.0000,12.0000,8.0000,43.0000
Pilar,12,4.0000,2.0000,5.0000,4.0000
Libertador,18,17.0000,15.0000,15.0000,34.0000
Garay,15,null,4.0000,5.0000,30.0000
Gral Paz Provincia,11,13.0000,20.0000,4.0000,13.0000
Pilar,17,4.0000,11.0000,6.0000,24.0000
Laferrere,23,6.0000,11.0000,10.0000,28.0000
Maschwitz,8,null,null,null,82.0000
Pilar,15,11.0000,7.0000,3.0000,20.0000
Garay,23,1.0000,5.0000,null,21.0000
Amanecer,14,5.0000,3.0000,null,13.0000
Pilar,10,9.0000,14.0000,4.0000,18.0000
Centenera,21,null,1.0000,1.0000,2.0000
Alberdi,8,null,null,null,46.0000
Florencio Varela,6,11.0000,21.0000,4.0000,12.0000
Villa Allende,13,null,1.0000,1.0000,2.0000
Cabildo,23,null,4.0000,1.0000,1.0000
Boulevard,21,2.0000,2.0000,1.0000,8.0000
Las Heras,3,3.0000,4.0000,7.0000,1.0000
Santa Fe,21,3.0000,3.0000,null,1.0000
DISC Echeverria,20,null,null,null,4.0000
Bulnes,3,null,null,null,null
Disc Panamericana,10,null,1.0000,null,1.0000
Alberdi,12,null,null,null,12.0000
Congreso,9,10.0000,5.0000,2.0000,6.0000
Maipu,6,6.0000,2.0000,1.0000,5.0000
Disc Panamericana,19,null,null,null,null
Luis Viale,1,2.0000,6.0000,null,17.0000
Quilmes,4,5.0000,6.0000,null,14.0000
Disc Panamericana,20,null,null,null,1.0000
Disc Panamericana,3,null,1.0000,null,null
Fisherton,10,2.0000,9.0000,null,11.0000
