estacion,hora,q_cafes_llevar_algo_leche_sinbakery_alfajor,q_cafes_llevar_algo_otros_sinbakery_alfajor,q_cafes_local_algo_leche_sinbakery_alfajor,q_cafes_local_algo_otros_sinbakery_alfajor
Disc Panamericana,8,null,1.0000,null,null
Bulnes,0,null,null,null,null
CORS EVENTOS,9,2.0000,null,null,null
Anchorena,8,null,null,null,null
Villa Allende,8,5.0000,1.0000,null,2.0000
Zarate,3,1.0000,1.0000,null,null
CORS EVENTOS,12,null,5.0000,null,null
Anchorena,4,null,null,null,null
Villa Allende,5,null,null,null,null
Anchorena,23,null,null,null,null
DISC Caraffa,3,null,null,null,null
Anchorena,7,null,null,null,null
Boulevard,5,null,null,null,null
Villa Allende,1,null,null,null,null
Rivadavia,21,null,null,null,null
Dialogos,4,null,null,null,null
Gral Paz Provincia,15,8.0000,16.0000,5.0000,63.0000
Dialogos,13,null,null,1.0000,9.0000
Santa Rita,18,3.0000,13.0000,null,17.0000
Laferrere,13,1.0000,1.0000,null,15.0000
Centenera,3,4.0000,null,2.0000,1.0000
Parque Sarmiento,9,11.0000,2.0000,null,8.0000
Floresta,21,null,3.0000,null,19.0000
Laferrere,11,2.0000,4.0000,3.0000,3.0000
Olivos,21,7.0000,3.0000,1.0000,8.0000
La Carmela,13,4.0000,2.0000,null,14.0000
Villa Luro,19,6.0000,10.0000,6.0000,24.0000
Buen Ayre,6,10.0000,5.0000,6.0000,8.0000
Emilio Castro,2,15.0000,8.0000,4.0000,7.0000
Dialogos,14,6.0000,13.0000,1.0000,13.0000
Dialogos,6,10.0000,12.0000,3.0000,5.0000
San Isidro,19,7.0000,20.0000,6.0000,27.0000
Anchorena,0,null,null,null,null
Libertador,4,5.0000,12.0000,5.0000,13.0000
Alsina,10,10.0000,12.0000,1.0000,19.0000
Alvear,10,10.0000,13.0000,7.0000,38.0000
Olivos,19,11.0000,3.0000,2.0000,7.0000
Villa Luro,7,18.0000,23.0000,2.0000,5.0000
La Carmela,11,6.0000,1.0000,null,5.0000
Boulevard,10,8.0000,10.0000,4.0000,20.0000
Parque Sarmiento,1,13.0000,2.0000,null,4.0000
Fisherton,11,1.0000,8.0000,null,32.0000
Parque Sarmiento,0,14.0000,null,1.0000,2.0000
Libertador,20,4.0000,14.0000,7.0000,15.0000
Villa Allende,11,2.0000,1.0000,1.0000,12.0000
Villa Luro,8,8.0000,19.0000,11.0000,11.0000
Floresta,16,4.0000,7.0000,null,16.0000
Libertador,22,5.0000,12.0000,2.0000,15.0000
Dialogos,22,5.0000,7.0000,3.0000,2.0000
El Club,14,6.0000,8.0000,6.0000,49.0000
Pilar,19,5.0000,8.0000,1.0000,18.0000
Emilio Castro,3,8.0000,14.0000,2.0000,4.0000
Laferrere,17,6.0000,5.0000,8.0000,13.0000
AUBASA BA-LP,17,30.0000,53.0000,27.0000,60.0000
Alsina,1,4.0000,5.0000,null,21.0000
AUBASA LP-BA,10,15.0000,25.0000,7.0000,24.0000
Maipu,9,5.0000,5.0000,8.0000,14.0000
Los Incas,1,8.0000,2.0000,null,1.0000
Buen Ayre,5,7.0000,5.0000,3.0000,2.0000
Gral Paz Provincia,3,4.0000,17.0000,8.0000,23.0000
Quilmes,6,7.0000,23.0000,4.0000,9.0000
Los Incas,20,4.0000,null,null,1.0000
Olivos,9,21.0000,4.0000,9.0000,3.0000
AUBASA BA-LP,10,30.0000,48.0000,10.0000,21.0000
Bonpland,23,4.0000,9.0000,5.0000,30.0000
La Carmela,7,16.0000,12.0000,13.0000,9.0000
Fisherton,3,null,1.0000,null,6.0000
AUBASA BA-LP,7,21.0000,20.0000,17.0000,20.0000
America,3,5.0000,5.0000,null,9.0000
Gral Paz Capital,10,30.0000,28.0000,null,40.0000
Bonpland,10,8.0000,11.0000,6.0000,18.0000
Gral Paz Provincia,17,32.0000,26.0000,18.0000,34.0000
Zarate,9,5.0000,6.0000,1.0000,3.0000
Del Tejar,0,3.0000,6.0000,null,24.0000
Garay,18,3.0000,16.0000,null,82.0000
Laferrere,1,9.0000,17.0000,7.0000,14.0000
Floresta,9,3.0000,10.0000,null,11.0000
AUBASA BA-LP,16,22.0000,61.0000,18.0000,70.0000
Zarate,22,2.0000,2.0000,2.0000,null
Maschwitz,18,null,null,null,53.0000
Congreso,10,8.0000,5.0000,null,5.0000
Trelles,23,8.0000,6.0000,2.0000,4.0000
Arroyo Seco,17,138.0000,198.0000,42.0000,222.0000
Las Heras,21,4.0000,2.0000,2.0000,4.0000
Las Heras,15,4.0000,9.0000,3.0000,13.0000
Santa Fe,12,null,1.0000,3.0000,null
Pilar,14,1.0000,2.0000,1.0000,12.0000
AUBASA LP-BA,18,45.0000,51.0000,26.0000,80.0000
Congreso,7,8.0000,4.0000,null,5.0000
DISC Echeverria,8,null,null,null,35.0000
Parque Sarmiento,5,16.0000,null,null,7.0000
Quilmes,17,13.0000,9.0000,7.0000,24.0000
Trelles,13,1.0000,2.0000,4.0000,10.0000
Boulevard,15,3.0000,10.0000,1.0000,43.0000
Del Tejar,16,3.0000,1.0000,6.0000,30.0000
Florencio Varela,14,12.0000,5.0000,5.0000,24.0000
Gral Paz Provincia,20,4.0000,22.0000,4.0000,24.0000
Libertador,9,6.0000,14.0000,4.0000,6.0000
Alberdi,7,null,null,null,32.0000
Luis Viale,17,11.0000,8.0000,4.0000,47.0000
Amanecer,1,3.0000,6.0000,null,11.0000
Cabildo,8,4.0000,2.0000,2.0000,null
Buen Ayre,4,1.0000,3.0000,null,2.0000
Congreso,4,1.0000,2.0000,null,5.0000
Boulevard,20,2.0000,8.0000,5.0000,11.0000
Libertador,3,4.0000,6.0000,3.0000,10.0000
Alsina,20,4.0000,18.0000,4.0000,38.0000
Emilio Castro,23,3.0000,5.0000,2.0000,4.0000
El Arco,15,1.0000,null,1.0000,22.0000
Libertador,23,2.0000,9.0000,3.0000,23.0000
Las Heras,11,5.0000,3.0000,3.0000,13.0000
DISC Echeverria,1,null,null,null,15.0000
Bonpland,0,3.0000,13.0000,6.0000,28.0000
Florencio Varela,12,2.0000,12.0000,5.0000,9.0000
Gral Paz Provincia,5,17.0000,23.0000,3.0000,17.0000
Alvear,5,2.0000,20.0000,6.0000,19.0000
Florencio Varela,8,30.0000,20.0000,13.0000,13.0000
Garay,8,15.0000,9.0000,7.0000,9.0000
Ovidio Lagos,4,4.0000,3.0000,null,8.0000
Ovidio Lagos,18,3.0000,5.0000,1.0000,30.0000
Villa Luro,1,6.0000,4.0000,2.0000,14.0000
Laferrere,12,1.0000,4.0000,2.0000,19.0000
Pilar,18,8.0000,4.0000,5.0000,42.0000
DISC Echeverria,5,null,null,null,45.0000
America,22,3.0000,4.0000,null,10.0000
El Club,21,1.0000,13.0000,1.0000,15.0000
Santa Rita,9,4.0000,7.0000,1.0000,5.0000
Florencio Varela,10,11.0000,18.0000,8.0000,17.0000
Luis Viale,16,10.0000,9.0000,5.0000,42.0000
Arroyo Seco,16,120.0000,174.0000,48.0000,235.0000
Centenera,9,18.0000,5.0000,13.0000,33.0000
DISC Echeverria,3,null,null,null,13.0000
Trelles,12,2.0000,4.0000,9.0000,10.0000
El Club,2,12.0000,29.0000,5.0000,20.0000
Emilio Castro,10,4.0000,5.0000,1.0000,5.0000
Cabildo,17,6.0000,5.0000,6.0000,5.0000
Gral Paz Capital,11,30.0000,25.0000,null,49.0000
Pilar,8,20.0000,8.0000,6.0000,11.0000
Arroyo Seco,0,49.0000,41.0000,3.0000,17.0000
El Club,9,9.0000,8.0000,11.0000,19.0000
Gral Paz Provincia,8,18.0000,23.0000,4.0000,13.0000
Maschwitz,21,null,null,null,6.0000
Trelles,16,4.0000,3.0000,7.0000,20.0000
Zarate Brazo Largo,4,8.0000,null,null,9.0000
El Club,11,10.0000,6.0000,6.0000,33.0000
Zarate,19,12.0000,4.0000,1.0000,2.0000
Congreso,17,8.0000,8.0000,3.0000,20.0000
Buen Ayre,23,4.0000,7.0000,1.0000,32.0000
Las Heras,10,14.0000,6.0000,1.0000,6.0000
Laferrere,15,1.0000,1.0000,3.0000,6.0000
Garay,11,5.0000,3.0000,2.0000,12.0000
Los Incas,15,4.0000,4.0000,null,null
Centenera,8,25.0000,13.0000,5.0000,2.0000
El Club,10,9.0000,9.0000,8.0000,15.0000
San Isidro,1,9.0000,7.0000,3.0000,15.0000
Emilio Castro,21,3.0000,6.0000,null,4.0000
San Isidro,0,6.0000,10.0000,10.0000,28.0000
Florencio Varela,1,null,4.0000,9.0000,15.0000
Las Heras,16,17.0000,11.0000,2.0000,9.0000
Buen Ayre,8,19.0000,15.0000,7.0000,15.0000
Alberdi,11,null,null,null,20.0000
Bulnes,15,2.0000,null,2.0000,10.0000
Lima,21,30.0000,60.0000,6.0000,43.0000
Parque Sarmiento,11,12.0000,2.0000,2.0000,2.0000
Centenera,23,3.0000,1.0000,2.0000,null
Bulnes,17,3.0000,3.0000,3.0000,16.0000
Villa Allende,19,3.0000,2.0000,8.0000,16.0000
Zarate,12,6.0000,3.0000,null,8.0000
Alberdi,18,null,null,null,23.0000
Del Tejar,10,4.0000,null,2.0000,4.0000
Gutierrez,7,11.0000,12.0000,4.0000,10.0000
America,0,4.0000,8.0000,null,19.0000
Dialogos,7,13.0000,12.0000,5.0000,10.0000
Lima,22,38.0000,55.0000,4.0000,57.0000
Alberdi,6,null,null,null,118.0000
Santa Rita,14,null,4.0000,null,18.0000
AUBASA LP-BA,8,24.0000,23.0000,7.0000,21.0000
Zarate Brazo Largo,15,18.0000,2.0000,1.0000,15.0000
Floresta,23,2.0000,10.0000,null,18.0000
Lima,18,175.0000,251.0000,59.0000,278.0000
Villa Luro,18,22.0000,21.0000,15.0000,40.0000
Zarate Brazo Largo,12,6.0000,1.0000,null,6.0000
Gutierrez,4,9.0000,14.0000,1.0000,null
Alvear,6,40.0000,45.0000,13.0000,21.0000
Gutierrez,13,null,3.0000,3.0000,4.0000
Los Incas,21,1.0000,null,null,1.0000
Alsina,13,2.0000,7.0000,3.0000,17.0000
El Arco,7,4.0000,5.0000,3.0000,7.0000
Ovidio Lagos,3,null,5.0000,null,6.0000
Garay,14,3.0000,1.0000,2.0000,25.0000
DISC Echeverria,21,null,null,null,2.0000
Floresta,14,1.0000,2.0000,null,11.0000
Villa Luro,17,25.0000,35.0000,6.0000,37.0000
Villa Allende,18,1.0000,9.0000,null,17.0000
Amanecer,4,4.0000,6.0000,null,11.0000
Boulevard,18,13.0000,9.0000,21.0000,57.0000
Ovidio Lagos,5,1.0000,3.0000,1.0000,15.0000
Amanecer,9,16.0000,9.0000,null,9.0000
AUBASA LP-BA,11,17.0000,36.0000,7.0000,41.0000
Bonpland,2,11.0000,10.0000,9.0000,14.0000
Congreso,19,6.0000,3.0000,1.0000,13.0000
Zarate Brazo Largo,1,8.0000,14.0000,2.0000,16.0000
Garay,19,3.0000,9.0000,4.0000,42.0000
Las Heras,6,21.0000,2.0000,1.0000,5.0000
Bulnes,11,6.0000,1.0000,3.0000,9.0000
Gral Paz Provincia,19,19.0000,39.0000,12.0000,22.0000
Trelles,2,9.0000,7.0000,1.0000,28.0000
Zarate Brazo Largo,0,7.0000,4.0000,null,8.0000
Los Incas,4,9.0000,1.0000,null,1.0000
Cabildo,14,2.0000,1.0000,1.0000,6.0000
AUBASA BA-LP,23,6.0000,31.0000,5.0000,38.0000
Lima,12,22.0000,55.0000,12.0000,93.0000
Amanecer,22,null,5.0000,null,23.0000
Las Heras,18,19.0000,23.0000,3.0000,10.0000
Pilar,0,null,15.0000,2.0000,13.0000
Congreso,2,10.0000,8.0000,null,3.0000
Buen Ayre,9,22.0000,17.0000,10.0000,5.0000
Florencio Varela,7,18.0000,21.0000,5.0000,13.0000
Del Tejar,4,1.0000,2.0000,1.0000,2.0000
Florencio Varela,21,8.0000,1.0000,1.0000,7.0000
Gral Paz Provincia,10,16.0000,36.0000,12.0000,20.0000
Fisherton,5,null,null,null,1.0000
La Bandera,21,null,null,null,9.0000
Emilio Castro,0,11.0000,14.0000,1.0000,7.0000
Pilar,7,14.0000,18.0000,null,4.0000
Libertador,16,11.0000,11.0000,9.0000,43.0000
Centenera,18,19.0000,6.0000,4.0000,8.0000
Lima,4,22.0000,48.0000,10.0000,25.0000
Dialogos,1,4.0000,2.0000,null,2.0000
Parque Sarmiento,18,5.0000,17.0000,null,21.0000
Olivos,10,16.0000,1.0000,6.0000,2.0000
La Carmela,6,30.0000,12.0000,3.0000,8.0000
Centenera,22,null,1.0000,null,1.0000
Florencio Varela,4,null,2.0000,null,4.0000
Gral Paz Capital,2,16.0000,10.0000,null,32.0000
Congreso,18,10.0000,10.0000,1.0000,14.0000
Villa Allende,15,2.0000,1.0000,1.0000,22.0000
Floresta,8,8.0000,10.0000,null,4.0000
Lima,16,117.0000,248.0000,47.0000,338.0000
Trelles,3,6.0000,5.0000,2.0000,41.0000
Santa Fe,19,4.0000,3.0000,1.0000,3.0000
Del Tejar,15,8.0000,2.0000,4.0000,32.0000
Los Incas,3,11.0000,4.0000,null,1.0000
Villa Allende,17,8.0000,2.0000,null,14.0000
San Isidro,9,14.0000,11.0000,4.0000,6.0000
Maipu,16,null,12.0000,3.0000,18.0000
Pilar,2,1.0000,4.0000,4.0000,5.0000
Buen Ayre,15,8.0000,27.0000,6.0000,66.0000
Alvear,7,24.0000,15.0000,11.0000,15.0000
Arroyo Seco,12,27.0000,43.0000,9.0000,89.0000
Garay,2,3.0000,13.0000,2.0000,10.0000
AUBASA BA-LP,0,15.0000,34.0000,3.0000,52.0000
Quilmes,7,13.0000,24.0000,4.0000,9.0000
La Carmela,9,12.0000,12.0000,11.0000,10.0000
Zarate,1,6.0000,2.0000,null,null
Fisherton,17,null,6.0000,null,61.0000
El Club,17,23.0000,16.0000,18.0000,53.0000
Trelles,14,3.0000,4.0000,4.0000,19.0000
DISC Echeverria,7,null,null,null,18.0000
AUBASA BA-LP,15,22.0000,59.0000,15.0000,68.0000
Maipu,8,12.0000,7.0000,14.0000,21.0000
Laferrere,0,12.0000,13.0000,8.0000,15.0000
Maschwitz,6,null,null,null,68.0000
Zarate Brazo Largo,17,18.0000,10.0000,null,12.0000
Santa Rita,1,2.0000,10.0000,1.0000,6.0000
Santa Rita,20,null,2.0000,null,8.0000
Parque Sarmiento,21,5.0000,6.0000,1.0000,10.0000
Pilar,13,1.0000,3.0000,3.0000,14.0000
Arroyo Seco,6,50.0000,36.0000,15.0000,28.0000
Parque Sarmiento,7,10.0000,3.0000,1.0000,10.0000
Fisherton,19,5.0000,13.0000,null,63.0000
Maschwitz,9,null,null,null,92.0000
Alberdi,23,null,null,null,5.0000
America,12,1.0000,1.0000,null,17.0000
Congreso,13,7.0000,4.0000,null,10.0000
Lima,9,41.0000,61.0000,21.0000,73.0000
Congreso,20,1.0000,1.0000,null,1.0000
Quilmes,13,1.0000,3.0000,3.0000,12.0000
Los Incas,12,15.0000,3.0000,null,null
Zarate Brazo Largo,18,20.0000,7.0000,1.0000,14.0000
Santa Rita,6,1.0000,24.0000,1.0000,7.0000
Centenera,1,5.0000,4.0000,1.0000,3.0000
Congreso,3,9.0000,4.0000,null,2.0000
La Bandera,11,3.0000,null,2.0000,16.0000
Amanecer,5,14.0000,10.0000,null,5.0000
Libertador,6,2.0000,10.0000,2.0000,15.0000
El Club,4,8.0000,2.0000,4.0000,7.0000
Floresta,1,2.0000,15.0000,1.0000,15.0000
Trelles,9,3.0000,2.0000,1.0000,5.0000
Garay,6,18.0000,11.0000,null,17.0000
Arroyo Seco,15,104.0000,150.0000,25.0000,270.0000
Lima,15,80.0000,202.0000,20.0000,275.0000
Gral Paz Provincia,12,9.0000,15.0000,4.0000,24.0000
Los Incas,19,9.0000,5.0000,null,1.0000
Floresta,4,1.0000,10.0000,3.0000,8.0000
Ovidio Lagos,20,null,5.0000,1.0000,24.0000
Maipu,22,3.0000,2.0000,4.0000,7.0000
Bonpland,8,29.0000,28.0000,7.0000,22.0000
Gutierrez,10,6.0000,12.0000,null,3.0000
Dialogos,10,9.0000,9.0000,5.0000,7.0000
Zarate Brazo Largo,2,8.0000,3.0000,null,23.0000
DISC Caraffa,16,null,null,null,12.0000
Trelles,20,3.0000,2.0000,3.0000,5.0000
San Isidro,10,10.0000,13.0000,3.0000,16.0000
Garay,9,6.0000,4.0000,1.0000,22.0000
Luis Viale,3,null,7.0000,3.0000,16.0000
AUBASA LP-BA,9,17.0000,21.0000,7.0000,31.0000
AUBASA LP-BA,3,14.0000,27.0000,3.0000,22.0000
Quilmes,19,6.0000,5.0000,8.0000,15.0000
Quilmes,10,8.0000,8.0000,1.0000,8.0000
America,4,1.0000,11.0000,null,2.0000
Dialogos,15,12.0000,10.0000,2.0000,13.0000
San Isidro,7,11.0000,16.0000,1.0000,4.0000
AUBASA LP-BA,22,9.0000,21.0000,7.0000,40.0000
Alberdi,4,null,null,null,6.0000
Los Incas,2,10.0000,5.0000,null,1.0000
Congreso,15,3.0000,7.0000,2.0000,16.0000
Quilmes,15,3.0000,8.0000,5.0000,18.0000
Alvear,23,2.0000,11.0000,12.0000,44.0000
Maschwitz,16,null,null,null,24.0000
Florencio Varela,15,9.0000,5.0000,6.0000,17.0000
Buen Ayre,20,8.0000,12.0000,6.0000,21.0000
Zarate Brazo Largo,21,3.0000,null,null,6.0000
San Isidro,23,8.0000,9.0000,3.0000,7.0000
Floresta,5,null,2.0000,1.0000,14.0000
Anchorena,5,null,null,null,null
Alvear,20,5.0000,20.0000,8.0000,42.0000
Maschwitz,3,null,null,null,12.0000
Arroyo Seco,4,17.0000,19.0000,2.0000,4.0000
Villa Luro,16,8.0000,10.0000,5.0000,41.0000
San Isidro,2,6.0000,9.0000,1.0000,6.0000
La Carmela,23,5.0000,5.0000,1.0000,7.0000
Florencio Varela,22,5.0000,7.0000,null,8.0000
Dialogos,23,11.0000,1.0000,null,3.0000
Quilmes,1,6.0000,5.0000,3.0000,13.0000
Maschwitz,10,null,null,null,74.0000
Quilmes,0,3.0000,8.0000,3.0000,26.0000
Villa Luro,3,null,9.0000,8.0000,7.0000
Del Tejar,12,2.0000,null,6.0000,7.0000
Arroyo Seco,23,20.0000,29.0000,3.0000,11.0000
Del Tejar,14,1.0000,null,4.0000,6.0000
Santa Fe,18,4.0000,10.0000,3.0000,4.0000
DISC Echeverria,12,null,null,null,13.0000
Villa Luro,4,1.0000,4.0000,null,4.0000
Buen Ayre,3,11.0000,3.0000,6.0000,2.0000
Amanecer,17,10.0000,10.0000,null,37.0000
Alvear,2,6.0000,11.0000,20.0000,56.0000
Alsina,17,10.0000,16.0000,4.0000,73.0000
Parque Sarmiento,4,14.0000,1.0000,null,3.0000
San Isidro,8,16.0000,13.0000,8.0000,14.0000
Gutierrez,5,13.0000,12.0000,4.0000,4.0000
Buen Ayre,21,2.0000,4.0000,2.0000,12.0000
Cabildo,21,2.0000,6.0000,1.0000,3.0000
DISC Echeverria,14,null,null,null,4.0000
AUBASA LP-BA,23,8.0000,19.0000,7.0000,14.0000
Alberdi,5,null,null,null,15.0000
CORS EVENTOS,11,25.0000,11.0000,null,null
Boulevard,11,3.0000,7.0000,null,20.0000
Centenera,6,11.0000,1.0000,5.0000,6.0000
Fisherton,9,1.0000,2.0000,null,7.0000
Zarate Brazo Largo,9,9.0000,3.0000,null,10.0000
DISC Echeverria,6,null,null,null,31.0000
Alsina,3,5.0000,20.0000,null,32.0000
Rivadavia,12,null,null,null,null
Anchorena,1,null,null,null,null
Floresta,3,8.0000,20.0000,4.0000,7.0000
Fisherton,4,null,null,null,2.0000
Garay,5,6.0000,7.0000,null,6.0000
Cabildo,5,1.0000,4.0000,null,1.0000
Libertador,2,2.0000,8.0000,4.0000,19.0000
Del Tejar,9,2.0000,1.0000,5.0000,9.0000
Ovidio Lagos,11,2.0000,4.0000,2.0000,5.0000
DISC Echeverria,15,null,null,null,5.0000
Gutierrez,20,2.0000,5.0000,2.0000,3.0000
Cabildo,22,3.0000,null,null,4.0000
Villa Allende,10,3.0000,2.0000,1.0000,4.0000
Florencio Varela,5,null,3.0000,3.0000,null
America,23,5.0000,12.0000,null,11.0000
Arroyo Seco,1,18.0000,35.0000,1.0000,7.0000
Villa Allende,9,6.0000,4.0000,1.0000,4.0000
Anchorena,15,null,null,null,null
Trelles,15,5.0000,7.0000,3.0000,14.0000
Maschwitz,23,null,null,null,1.0000
San Isidro,4,2.0000,7.0000,1.0000,5.0000
Disc Panamericana,15,null,2.0000,null,1.0000
Boulevard,8,4.0000,5.0000,2.0000,5.0000
Congreso,12,3.0000,null,1.0000,5.0000
Fisherton,22,null,1.0000,null,4.0000
Los Incas,6,9.0000,6.0000,null,null
Cabildo,9,7.0000,3.0000,1.0000,3.0000
Quilmes,12,2.0000,6.0000,null,13.0000
Bulnes,14,3.0000,4.0000,1.0000,10.0000
Anchorena,18,null,null,null,null
Disc Panamericana,14,1.0000,null,null,null
CORS EVENTOS,8,null,4.0000,null,null
DISC Caraffa,20,null,null,1.0000,1.0000
Maschwitz,1,null,null,null,7.0000
Quilmes,5,3.0000,4.0000,null,2.0000
La Bandera,7,2.0000,null,null,1.0000
Bulnes,9,11.0000,7.0000,4.0000,7.0000
DISC Caraffa,11,null,1.0000,null,2.0000
Anchorena,16,null,null,null,null
CORS EVENTOS,14,15.0000,50.0000,null,1.0000
DISC Caraffa,0,null,null,null,null
Bulnes,22,null,null,null,null
Ovidio Lagos,7,2.0000,11.0000,2.0000,2.0000
Dialogos,5,null,null,null,null
Rivadavia,20,null,null,null,null
DISC Caraffa,22,null,null,null,4.0000
Disc Panamericana,5,null,null,null,null
DISC Caraffa,8,null,2.0000,null,1.0000
Disc Panamericana,22,null,null,null,null
Anchorena,20,null,null,null,null
CORS EVENTOS,16,22.0000,35.0000,null,null
CORS EVENTOS,13,6.0000,11.0000,null,null
Disc Panamericana,0,null,3.0000,null,null
Anchorena,21,null,null,null,null
Disc Panamericana,1,null,null,null,null
Zarate,4,null,null,null,null
Anchorena,2,null,null,null,null
Disc Panamericana,4,null,null,null,null
CORS EVENTOS,10,4.0000,8.0000,null,null
Anchorena,13,null,null,null,null
Rivadavia,13,null,null,null,null
DISC Caraffa,4,null,null,null,null
Villa Allende,4,2.0000,null,1.0000,3.0000
Anchorena,14,null,null,null,null
DISC Caraffa,5,null,null,null,null
DISC Caraffa,1,null,null,null,null
Villa Allende,3,null,null,null,null
Rivadavia,9,null,null,null,null
CORS EVENTOS,18,1.0000,2.0000,null,null
Villa Allende,23,null,null,null,null
El Arco,5,null,null,null,null
